Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,32768,1,16,512,1.85468,1.70651, N/A,0.214882,0.213646,15.2523,0.613862,8,2,1,1,16,1,6.31818,2,2,0.5,1,1,1,60.8532
22,65536,1,16,512,1.88956,1.73474, N/A,0.21802,0.219871,26.4337,0.655924,8,2,1,1,16,1,11.8142,2,2,0.5,1,1,1,70.4393
22,131072,1,16,512,1.93593,1.77792, N/A,0.223194,0.226072,50.1479,0.740203,8,2,1,1,16,1,20.959,2,4,0.5,1,1,1,66.048
22,262144,1,16,512,2.01378,1.8441, N/A,0.233891,0.253481,93.2486,0.902926,8,2,1,1,16,1,34.2635,2,2,0.5,1,1,1,79.4103
22,524288,1,16,512,2.05656,0.648937, N/A,0.272181,0.32314,190.844,1.30272,16,2,1,1,16,1,48.9408,2,8,1,1,2,1,70.164
22,1048576,1,16,512,2.34746,1.9472, N/A,0.277881,0.300997,366.259,2.6177,8,4,1,1,16,1,48.8605,4,8,1,1,2,1,70.5915
22,2097152,1,16,512,2.69451,1.9472, N/A,0.309553,0.321857,726.771,4.40636,8,8,1,1,16,1,60.8476,4,16,2,1,4,1,71.0582
22,4194304,1,16,512,3.10058,2.11407, N/A,0.376587,0.424742,1437.49,7.4481,8,8,1,1,16,1,72.2438,8,16,2,1,4,1,72.3939
22,8388608,1,16,512,4.01533,2.11407, N/A,0.477156,0.55735,2858.59,16.117,8,16,1,1,16,1,73.2045,16,16,4,1,8,1,72.1368
22,16777216,1,16,512,5.26346,2.4257, N/A,0.672297,0.720376,5749.89,29.7048,8,16,1,1,16,1,79.2036,16,64,4,1,4,1,67.1353
22,33554432,1,16,512,7.41112,2.4257, N/A,0.94071,1.03321,11358.3,57.543,16,16,2,1,16,1,81.7887,32,64,8,1,16,1,65.9807
22,67108864,1,16,512,10.2412,2.4257, N/A,1.27705,1.36834,22667.7,113.867,16,32,2,1,16,1,82.0228,32,128,8,1,16,1,65.9346
22,134217728,1,16,512,14.3208,2.4257, N/A,1.78353,1.87361,45237.6,222.167,32,32,4,1,16,1,83.9448,64,128,16,1,16,1,65.2159
22,268435456,1,16,512,19.3653,3.21777, N/A,2.50596,2.63403,90838.2,428.561,32,32,4,1,16,1,87.3188,128,256,16,1,8,1,62.0452
