Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,8192,1,4,512,0.543453,1.70651, N/A,0.0346051,0.0333866,4.06039,0.0836648,2,2,1,1,4,2,11.6294,2,2,0.5,1,1,1,59.5122
22,16384,1,4,512,0.577843,1.73474, N/A,0.0359009,0.0347878,6.8669,0.0973832,2,2,1,1,4,2,20.6892,2,2,1,1,2,1,61.6706
22,32768,1,4,512,0.538193,0.548053, N/A,0.0496097,0.0527551,12.911,0.191407,4,2,1,1,4,1,20.9805,2,2,1,1,2,1,69.4867
22,65536,1,4,512,0.587493,0.585804, N/A,0.0521084,0.059518,24.4947,0.234541,4,2,1,1,4,1,34.1752,2,2,1,1,2,1,74.4913
22,131072,1,4,512,0.673315,0.648937, N/A,0.0569306,0.0693728,47.5406,0.343062,4,2,1,1,4,1,49.908,2,4,2,1,4,1,66.8868
22,262144,1,4,512,0.894714,0.781982, N/A,0.0666551,0.0911011,92.8037,0.579583,4,2,1,1,4,1,64.8649,2,4,4,1,8,1,73.081
22,524288,1,4,512,1.13729,0.781982, N/A,0.0954089,0.120137,185.278,1.1788,4,4,1,1,4,1,62.2198,2,8,4,1,8,1,71.3043
22,1048576,1,4,512,1.5262,0.781982, N/A,0.146376,0.171614,369.899,2.47008,4,8,1,1,4,1,58.1262,2,16,4,1,8,1,70.2681
22,2097152,1,4,512,2.17003,2.11621, N/A,0.211768,0.22041,711.665,4.4191,4,8,2,2,4,1,65.7637,4,16,8,1,16,1,70.7251
22,4194304,1,4,512,2.80111,2.11621, N/A,0.330397,0.348513,1412.68,8.10898,4,16,2,4,4,1,71.0303,4,32,8,1,16,1,70.3993
22,8388608,1,4,512,3.99079,1.08964, N/A,0.43162,0.489664,2934.96,16.6474,16,8,4,1,4,1,70.0941,16,16,16,1,16,1,71.5055
22,16777216,1,4,512,5.28918,2.42809, N/A,0.613094,0.638302,5654.31,30.6108,8,16,4,2,4,1,75.8307,16,32,16,1,16,1,71.117
22,33554432,1,4,512,7.4646,2.42809, N/A,0.865739,0.889671,11309.8,59.4364,16,16,8,2,4,1,78.3143,32,64,32,1,8,1,65.4601
22,67108864,1,4,512,10.1735,2.42809, N/A,1.26182,1.30616,22494.6,112.203,16,32,8,4,4,1,82.2125,32,128,32,1,16,1,65.2533
