Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,16384,1,8,512,0.997733,1.70651, N/A,0.0929201,0.0923021,8.23981,0.301726,4,2,1,1,8,1,6.43442,2,2,0.5,1,1,1,61.6512
22,32768,1,8,512,1.03224,1.73474, N/A,0.094372,0.0952974,13.8632,0.32251,4,2,1,1,8,1,12.0288,2,2,0.5,1,1,1,69.8415
22,65536,1,8,512,1.0783,1.77792, N/A,0.0970242,0.100957,25.078,0.363645,4,2,1,1,8,1,21.3144,2,2,0.5,1,1,1,74.7853
22,131072,1,8,512,1.05343,0.585804, N/A,0.119293,0.132067,48.4034,0.473986,8,2,1,1,8,1,33.8587,2,4,1,1,2,1,66.9022
22,262144,1,8,512,1.13768,0.648937, N/A,0.129363,0.154074,93.7918,0.682967,8,2,1,1,8,1,49.5331,2,4,2,1,4,1,72.914
22,524288,1,8,512,1.35914,0.781982, N/A,0.147146,0.197626,185.802,1.04768,8,2,1,1,8,1,64.4991,2,8,2,1,4,1,71.5052
22,1048576,1,8,512,1.62805,0.781982, N/A,0.181733,0.239271,371.596,2.21289,8,4,1,1,8,1,60.8498,4,8,2,1,4,1,72.7511
22,2097152,1,8,512,2.16968,2.11407, N/A,0.212446,0.222238,715.592,4.44755,4,8,1,1,8,1,65.7246,4,16,4,1,4,2,70.0401
22,4194304,1,8,512,2.81681,2.11621, N/A,0.33098,0.355255,1428.22,8.24774,4,16,1,2,8,1,70.9209,8,16,4,1,4,1,72.2933
22,8388608,1,8,512,3.95452,1.08964, N/A,0.468045,0.598382,2934.77,16.0611,16,8,2,1,8,1,73.0677,16,16,8,1,16,1,71.8951
22,16777216,1,8,512,5.30026,2.4257, N/A,0.618786,0.664075,5671.38,30.7958,8,16,2,1,8,1,75.8061,16,32,8,1,16,1,71.6449
22,33554432,1,8,512,7.49774,2.4257, N/A,0.87078,0.903561,11343.7,59.7478,16,16,4,1,8,1,78.3019,32,64,16,1,16,1,65.5332
22,67108864,1,8,512,10.2043,2.42809, N/A,1.26534,1.31689,22569.1,113.012,16,32,4,2,8,1,82.1545,32,128,16,1,16,1,65.618
22,134217728,1,8,512,14.2455,3.21777, N/A,1.73034,1.7837,45028.8,222.109,32,16,8,1,8,1,83.4759,64,128,32,1,16,1,64.8686
