Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,65536,1,32,512,3.51639,1.70651, N/A,0.458752,0.456281,31.3272,1.2696,16,2,1,1,32,1,6.09392,2,2,0.5,1,1,1,60.3476
22,131072,1,32,512,3.55206,1.73474, N/A,0.465262,0.468964,53.472,1.35468,16,2,1,1,32,1,11.4115,2,2,0.5,1,1,1,72.2246
22,262144,1,32,512,3.59897,1.77792, N/A,0.475771,0.481332,103.164,1.52288,16,2,1,1,32,1,20.308,2,4,0.5,1,1,1,69.0407
22,524288,1,32,512,3.67694,1.8441, N/A,0.494865,0.504408,202.273,1.85323,16,2,1,1,32,1,33.3689,2,8,0.5,1,1,1,67.5945
22,1048576,1,32,512,3.80268,1.9472, N/A,0.533626,0.582276,380.414,2.9118,16,2,1,1,32,1,49.2736,4,8,0.5,1,1,1,69.3192
22,2097152,1,32,512,4.14053,1.9472, N/A,0.566007,0.5922,755.694,6.37772,16,4,1,1,32,1,39.9314,4,16,1,1,2,1,69.5642
22,4194304,1,32,512,4.42188,2.11407, N/A,0.650729,0.751144,1467.12,9.13448,16,4,1,1,32,1,55.8728,8,16,1,1,2,1,71.7259
22,8388608,1,32,512,5.25055,1.9472, N/A,0.664501,0.817496,2902.62,15.8678,16,16,1,1,32,1,67.8296,16,16,2,1,4,1,72.2405
22,16777216,1,32,512,6.07078,2.11407, N/A,0.80119,0.894893,5849.11,27.7852,16,16,1,1,32,1,77.4049,16,64,2,1,4,1,66.6403
22,33554432,1,32,512,7.70048,2.11407, N/A,0.990088,1.14705,11513.5,59.8369,16,32,1,1,32,1,78.966,32,64,4,1,8,1,66.5323
22,67108864,1,32,512,10.1728,2.4257, N/A,1.41894,1.60375,22915,112.533,16,32,1,1,32,1,83.5811,32,128,4,1,8,1,66.552
22,134217728,1,32,512,14.4089,7.52922, N/A,1.91329,2.04398,44688,220.861,16,32,2,1,32,1,85.1463,64,128,8,1,16,1,65.4788
22,268435456,1,32,512,19.8397,2.4257, N/A,2.5975,2.89483,91741.4,437.832,32,64,2,1,32,1,86.0158,128,256,8,1,8,1,62.245
22,536870912,1,32,512,27.6714,2.4257, N/A,3.62463,3.89833,180957,850.519,64,64,4,1,32,1,87.3003,128,256,16,1,16,1,64.8403
