Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,131072,1,64,512,6.83524,1.70651, N/A,0.947053,0.94211,72.2076,2.71114,32,2,1,1,64,1,5.69999,2,2,0.5,1,1,1,54.411
22,262144,1,64,512,6.89112,1.73474, N/A,0.962831,0.992585,115.543,2.88704,32,2,1,1,64,1,10.71,4,2,0.5,1,1,1,63.0665
22,524288,1,64,512,6.96225,1.77792, N/A,0.984053,1.01662,224.632,3.22421,32,2,1,1,64,1,19.177,4,4,0.5,1,1,1,65.6579
22,1048576,1,64,512,7.05081,1.8441, N/A,1.02231,1.06177,442.264,3.88717,32,2,1,1,64,1,31.8095,4,8,0.5,1,1,1,66.0314
22,2097152,1,64,512,7.17612,1.9472, N/A,1.09602,1.15054,876.457,6.6045,32,2,1,1,64,1,47.532,4,16,0.5,1,1,1,65.9424
22,4194304,1,64,512,8.02565,6.44003, N/A,1.02536,1.15186,1613.07,13.164,16,16,1,1,64,1,37.6165,8,16,0.5,1,1,1,68.2001
22,8388608,1,64,512,8.38913,6.56368, N/A,1.0941,1.35534,3004.34,19.0513,16,16,1,1,64,1,53.5445,16,16,1,1,2,1,71.183
22,16777216,1,64,512,8.99628,6.75119, N/A,1.20234,1.27379,6261.16,29.996,16,16,1,1,64,1,68.0026,16,64,1,1,2,1,65.6254
22,33554432,1,64,512,10.1594,6.75119, N/A,1.32906,1.53458,11863.9,59.9959,16,32,1,1,64,1,71.8427,32,64,2,1,4,1,66.1193
22,67108864,1,64,512,12.0388,6.75119, N/A,1.52938,1.71862,23677.5,116.128,16,64,1,1,64,1,73.9752,32,128,2,1,4,1,66.6785
22,134217728,1,64,512,14.7925,7.04379, N/A,2.00882,2.39459,45767.2,230.667,16,64,1,1,64,1,82.0582,64,128,4,1,8,1,65.9466
22,268435456,1,64,512,20.2314,2.11407, N/A,2.73117,3.25417,92883.9,453.001,32,128,1,1,64,1,82.8291,64,256,4,1,8,1,66.2346
22,536870912,1,64,512,28.3998,7.04379, N/A,3.78203,4.58911,179862,894.637,32,128,2,1,64,1,83.7318,128,256,8,1,16,1,64.9796
22,1073741824,1,64,512,38.7124,7.52922, N/A,5.29164,5.94506,364677,1702.64,32,128,2,1,64,1,88.3432,256,512,8,1,8,1,61.8455
